ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,Fatality Rate (%)
290254,1,1,43,1,1,4,11,20,1,8,0,3,0,2,0,1,998,74,185,0,0,1,4,1,2,1,1,10,0,13,96,0,14,5,2020,5,13,2,12,1,1,1,1,10,25.0
290255,1,1,20,1,1,4,11,20,8,1,0,1,0,2,0,1,998,73,170,0,3,3,5,1,2,1,15,11,0,13,96,73,15,5,2020,6,12,2,12,1,1,1,1,1,33.33333333
290258,1,1,48,1,1,2,11,20,20,8,0,2,0,1,0,1,998,70,245,1,0,6,1,8,8,1,1,17,0,13,96,38,20,5,2020,4,10,2,12,2,2,1,1,10,25.0
290259,1,1,37,1,1,2,11,3,8,8,0,3,0,1,0,1,54,73,190,1,0,5,5,6,1,1,1,62,0,60,96,0,23,5,2020,7,15,2,12,1,1,1,1,1,20.0
290260,1,1,22,1,1,0,11,20,20,8,0,2,0,1,0,1,998,70,200,0,3,1,8,1,2,1,1,98,1,60,96,58,24,5,2020,1,17,2,7,1,1,1,1,10,50.0
290261,1,1,42,1,1,3,11,99,2,8,0,2,0,1,0,1,998,74,225,0,4,1,2,5,2,2,1,12,1,60,96,0,25,5,2020,2,22,2,30,1,1,4,3,2,50.0
290262,1,1,53,1,1,1,11,99,1,8,0,2,0,1,0,1,998,74,220,2,4,5,8,6,2,1,14,62,1,60,96,0,26,5,2020,3,22,2,12,8,1,1,3,10,20.0
290263,1,1,36,2,1,4,11,20,20,8,0,1,0,1,0,1,998,64,110,0,3,1,2,1,2,1,1,12,0,80,96,0,7,4,2020,3,18,2,30,1,1,4,1,1,100.0
290264,1,1,79,1,1,0,11,3,20,8,0,1,0,1,0,1,999,64,135,0,0,2,3,5,2,1,1,62,0,13,96,0,12,5,2020,3,14,2,33,1,1,4,1,10,33.33333333
290266,1,1,55,2,1,4,11,20,8,1,0,1,0,1,0,1,998,68,150,0,0,8,8,8,9,2,11,15,0,13,96,0,19,5,2020,3,20,2,12,2,3,1,2,2,50.0
290270,1,1,53,1,1,4,11,20,20,8,0,1,0,0,0,1,998,72,275,0,0,1,2,1,1,1,1,17,1,69,96,0,25,5,2020,2,0,2,1,2,2,1,3,1,100.0
290271,1,1,39,1,1,0,11,3,20,8,0,1,0,1,0,1,35,71,195,1,0,5,5,1,1,1,1,80,0,13,96,0,26,5,2020,3,21,2,8,1,1,1,3,1,50.0
290282,1,1,22,1,1,1,11,3,20,8,0,1,0,1,0,1,998,999,999,0,0,2,2,1,2,1,1,67,0,3,96,0,10,5,2020,1,12,2,12,2,3,1,1,1,16.66666667
290283,1,1,39,1,1,1,11,3,20,0,0,1,0,1,0,1,998,71,180,0,0,5,5,1,2,2,1,17,0,119,96,39,11,5,2020,2,16,2,12,2,2,1,1,2,33.33333333
290284,1,1,18,1,1,4,11,20,8,1,0,1,0,0,0,1,999,67,170,0,0,1,2,5,2,2,14,10,0,13,6,28,15,5,2020,6,6,2,12,1,1,1,1,2,50.0
290288,1,1,22,1,1,3,11,20,8,8,0,1,0,0,0,1,998,71,170,1,4,3,3,6,2,1,1,17,0,13,96,39,27,5,2020,4,14,2,12,2,2,1,1,1,25.0
290290,1,1,58,2,1,4,11,2,1,8,0,4,0,1,0,1,998,61,135,0,3,1,2,1,2,1,14,6,1,13,96,0,31,5,2020,1,2,2,42,1,1,4,2,10,50.0
290295,1,1,31,1,1,0,11,3,20,0,0,1,0,1,0,1,998,68,140,0,0,1,2,1,2,1,14,62,1,13,96,0,4,6,2020,5,22,2,12,1,1,1,3,1,50.0
290297,1,1,39,1,1,4,11,20,1,1,0,2,0,2,0,1,65,71,130,0,3,6,2,5,2,1,14,8,1,13,96,85,6,6,2020,7,10,2,25,5,1,4,1,1,50.0
290298,1,1,29,2,1,3,11,20,1,8,0,1,0,1,0,1,998,64,173,0,0,1,4,8,8,1,1,66,0,7,96,0,25,5,2020,2,12,2,12,2,2,1,1,10,33.33333333
290301,1,1,61,1,1,4,11,20,20,8,0,1,0,1,0,1,998,73,160,2,0,3,3,1,2,1,1,52,1,80,96,26,6,6,2020,7,13,2,12,1,1,1,1,1,50.0
290305,1,1,23,1,1,4,11,99,20,8,0,1,0,1,0,1,998,72,190,1,0,2,2,1,2,1,15,10,0,60,96,38,13,6,2020,7,13,2,12,1,1,1,1,1,16.66666667
290306,1,1,41,1,1,4,11,3,1,8,0,1,0,2,0,1,998,999,999,99,0,3,2,6,2,1,14,13,1,7,96,0,13,6,2020,7,3,2,58,1,1,4,2,1,100.0
290308,1,1,35,1,1,4,11,20,20,8,0,1,0,1,0,1,998,67,125,0,0,6,1,1,2,1,1,12,1,7,96,999,13,6,2020,7,2,2,59,5,1,8,3,1,100.0
290310,1,1,27,1,1,4,11,20,1,8,0,1,0,3,0,1,998,73,185,0,3,3,3,1,2,1,1,99,0,13,96,0,16,6,2020,3,3,2,12,1,1,1,3,1,50.0
290311,1,1,35,1,1,3,11,99,1,8,0,1,0,1,0,1,998,72,170,0,0,5,5,1,2,1,1,66,0,13,96,0,18,6,2020,5,17,2,12,2,4,1,1,1,33.33333333
