ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,INJ_SEV
122083,1,1,44,2,1,11,3,20,0,0,3,0,1,0,1,30,57,999,0,0,2,3,1,8,1,1,80,0,5,0,0,22,9,2020,3,21,2,8,1,1,1,2,1,0
122084,1,1,30,1,1,11,3,20,0,0,1,0,1,0,1,55,74,999,0,0,2,2,1,8,2,1,80,0,13,0,0,20,9,2020,1,21,2,8,1,1,1,2,10,0
122085,1,1,74,1,1,11,3,8,9,0,2,0,1,0,1,70,64,999,0,5,2,4,1,8,1,1,12,0,13,99,0,19,9,2020,7,12,2,33,1,1,3,1,1,4
122087,1,1,26,2,1,11,3,20,9,0,3,0,1,0,1,1,64,999,0,0,1,3,1,8,2,1,13,0,7,99,0,6,9,2020,1,18,2,8,3,2,6,1,10,0
122088,1,1,58,2,1,11,20,8,0,0,2,0,2,0,1,15,67,999,0,0,2,5,1,8,1,12,21,0,13,99,0,20,9,2020,1,13,2,12,2,3,1,1,10,3
122089,1,1,26,1,1,11,3,20,0,0,1,0,1,0,1,37,71,999,0,0,5,5,1,8,1,1,80,0,13,0,0,7,9,2020,2,21,2,8,3,3,1,3,1,0
122090,1,1,998,8,1,11,3,20,9,0,99,1,9,99,1,60,999,999,99,0,2,3,1,8,1,1,80,0,999,99,0,20,9,2020,1,21,2,8,1,1,1,3,1,0
122091,1,1,27,2,1,11,3,20,0,0,2,0,1,0,1,10,63,999,0,0,1,4,1,8,1,11,15,0,13,0,38,14,9,2020,2,22,2,12,2,2,1,6,1,0
122092,1,1,55,1,1,11,20,20,0,0,1,0,1,0,1,45,72,999,3,0,2,2,1,8,1,1,98,0,82,0,0,7,9,2020,2,22,2,33,3,3,4,2,1,4
122093,1,1,41,1,1,11,20,20,1,0,1,0,1,0,1,73,71,999,0,0,1,2,6,8,1,14,13,1,60,99,0,6,9,2020,1,23,2,35,1,1,4,2,1,4
122094,1,1,44,1,1,11,20,20,0,0,1,0,2,0,1,998,73,999,0,0,1,2,1,8,1,14,13,0,81,0,0,21,9,2020,2,19,2,34,1,1,4,3,1,4
122097,1,1,24,1,1,11,20,20,9,0,1,0,1,0,1,55,75,999,0,0,2,2,1,8,1,1,13,0,80,99,0,14,9,2020,2,15,2,42,1,1,4,1,1,4
122098,1,1,23,2,1,11,20,20,0,0,1,0,1,0,1,40,63,999,0,0,1,2,1,8,1,1,17,0,85,99,39,7,9,2020,2,14,2,12,2,2,1,1,1,4
122099,1,1,30,1,1,11,20,8,1,0,1,0,2,0,1,44,72,999,0,0,2,3,1,8,2,14,12,0,13,93,6,13,9,2020,1,4,2,14,1,1,5,3,1,2
122102,1,1,35,1,1,11,3,8,0,0,1,0,2,0,1,998,69,999,0,0,1,2,1,8,1,1,10,1,13,99,6,11,9,2020,6,18,2,12,1,1,1,1,1,1
